,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
0,text_10_L2,1,When,7.94e-06,3.9,12.800775,4,1
1,text_10_L2,1,online,0.00024,5.38,6.5815935,6,2
2,text_10_L2,1,file-sharing,1.08e-06,3.03,17.534039,12,3
3,text_10_L2,1,programs,3.16e-07,2.5,10.535306,8,4
4,text_10_L2,1,"emerged,",1.55e-08,1.19,16.64422,8,5
5,text_10_L2,1,the,0.000417,5.62,6.2495494,3,6
6,text_10_L2,1,music,1.58e-05,4.2,6.1824803,5,7
7,text_10_L2,1,industry,1.66e-06,3.22,8.683656,8,8
8,text_10_L2,1,changed,5.37e-07,2.73,7.7226415,7,9
9,text_10_L2,1,forever.,3.09e-06,3.49,10.457285,8,10
10,text_10_L2,2,Perhaps,3.24e-07,2.51,17.197723,7,11
11,text_10_L2,2,the,0.000417,5.62,8.184784,3,12
12,text_10_L2,2,first,1.86e-05,4.27,0.72451377,5,13
13,text_10_L2,2,widely-used,5.27e-08,1.72,32.528717,11,14
14,text_10_L2,2,music,1.58e-05,4.2,7.9912386,5,15
15,text_10_L2,2,file,2e-06,3.3,9.080005,4,16
16,text_10_L2,2,sharing,2.34e-06,3.37,10.895245,7,17
17,text_10_L2,2,program,2.04e-06,3.31,8.154783,7,18
18,text_10_L2,2,was,0.00309,6.49,5.933859,3,19
19,text_10_L2,2,Napster.,2.57e-07,2.41,13.943484,8,20
20,text_10_L2,3,It,8.51e-05,4.93,10.317513,2,21
21,text_10_L2,3,allowed,2.4e-07,2.38,12.886373,7,22
22,text_10_L2,3,users,1.17e-06,3.07,10.263055,5,23
23,text_10_L2,3,to,0.000148,5.17,0.4020724,2,24
24,text_10_L2,3,sign,2.29e-06,3.36,6.854809,4,25
25,text_10_L2,3,up,4.47e-05,4.65,3.4082463,2,26
26,text_10_L2,3,to,0.000148,5.17,1.6150897,2,27
27,text_10_L2,3,use,5.25e-06,3.72,4.3788056,3,28
28,text_10_L2,3,the,0.000417,5.62,0.6942943,3,29
29,text_10_L2,3,service,4.07e-05,4.61,1.6937282,7,30
30,text_10_L2,3,at,4.68e-05,4.67,4.0328245,2,31
31,text_10_L2,3,no,7.94e-05,4.9,0.34598097,2,32
32,text_10_L2,3,charge.,1.58e-06,3.2,8.503445,7,33
33,text_10_L2,4,"Then,",3.24e-06,3.51,16.817816,5,34
34,text_10_L2,4,they,6.76e-06,3.83,4.879743,4,35
35,text_10_L2,4,could,2.51e-06,3.4,4.507725,5,36
36,text_10_L2,4,download,1.23e-05,4.09,3.6306427,8,37
37,text_10_L2,4,music,1.58e-05,4.2,7.4150662,5,38
38,text_10_L2,4,files,1.38e-06,3.14,9.068178,5,39
39,text_10_L2,4,from,2.51e-05,4.4,0.039000344,4,40
40,text_10_L2,4,other,6.76e-06,3.83,3.769691,5,41
41,text_10_L2,4,users,1.17e-06,3.07,6.3283243,5,42
42,text_10_L2,4,all,0.000158,5.2,0.045264855,3,43
43,text_10_L2,4,over,1.23e-05,4.09,9.045681,4,44
44,text_10_L2,4,the,0.000417,5.62,0.022497429,3,45
45,text_10_L2,4,world,3.55e-05,4.55,1.8817048,5,46
46,text_10_L2,4,by,5.25e-05,4.72,3.006628,2,47
47,text_10_L2,4,simply,8.91e-07,2.95,9.382258,6,48
48,text_10_L2,4,typing,6.76e-08,1.83,11.496157,6,49
49,text_10_L2,4,in,0.0174,7.24,1.3578626,2,50
50,text_10_L2,4,what,1.62e-05,4.21,9.862231,4,51
51,text_10_L2,4,song,4.79e-05,4.68,10.8070755,4,52
52,text_10_L2,4,or,2.51e-05,4.4,0.5460545,2,53
53,text_10_L2,4,album,5.62e-05,4.75,6.373427,5,54
54,text_10_L2,4,they,6.76e-06,3.83,5.4212146,4,55
55,text_10_L2,4,wanted.,1.74e-06,3.24,6.336054,7,56
56,text_10_L2,5,"Obviously,",1.55e-07,2.19,20.283966,10,57
57,text_10_L2,5,this,3.24e-05,4.51,11.185356,4,58
58,text_10_L2,5,was,0.00309,6.49,0.09402267,3,59
59,text_10_L2,5,bad,0.000115,5.06,0.45580336,3,60
60,text_10_L2,5,news,4.07e-05,4.61,2.0592353,4,61
61,text_10_L2,5,for,7.59e-05,4.88,4.2616234,3,62
62,text_10_L2,5,music,1.58e-05,4.2,7.9676805,5,63
63,text_10_L2,5,artists,1.17e-06,3.07,7.208738,7,64
64,text_10_L2,5,and,0.000166,5.22,3.47169,3,65
65,text_10_L2,5,record,2.24e-06,3.35,6.4840426,6,66
66,text_10_L2,5,labels,3.09e-06,3.49,6.298765,6,67
67,text_10_L2,5,because,4.27e-06,3.63,8.918636,7,68
68,text_10_L2,5,they,6.76e-06,3.83,3.1011238,4,69
69,text_10_L2,5,were,4.68e-06,3.67,4.936558,4,70
70,text_10_L2,5,not,4.79e-05,4.68,2.0845747,3,71
71,text_10_L2,5,making,2.88e-06,3.46,8.174385,6,72
72,text_10_L2,5,any,3.98e-06,3.6,6.133663,3,73
73,text_10_L2,5,profits,4.37e-07,2.64,10.518774,7,74
74,text_10_L2,5,from,2.51e-05,4.4,5.658481,4,75
75,text_10_L2,5,downloaded,3.55e-08,1.55,15.448786,10,76
76,text_10_L2,5,music.,1.58e-05,4.2,1.1362296,6,77
77,text_10_L2,6,"Eventually,",6.17e-08,1.79,21.920998,11,78
78,text_10_L2,6,Napster,2.57e-07,2.41,14.280521,7,79
79,text_10_L2,6,was,0.00309,6.49,1.6269178,3,80
80,text_10_L2,6,shut,7.59e-07,2.88,12.356625,4,81
81,text_10_L2,6,down.,1.51e-05,4.18,2.1896687,5,82
82,text_10_L2,7,While,1.82e-06,3.26,14.689062,5,83
83,text_10_L2,7,it,8.51e-05,4.93,5.4005103,2,84
84,text_10_L2,7,later,1.38e-06,3.14,14.583786,5,85
85,text_10_L2,7,reinvented,0.0,0.0,18.454912,10,86
86,text_10_L2,7,itself,4.79e-07,2.68,9.262519,6,87
87,text_10_L2,7,as,3.72e-05,4.57,11.72002,2,88
88,text_10_L2,7,a,0.000603,5.78,5.34536,1,89
89,text_10_L2,7,paying,1.02e-07,2.01,14.096399,6,90
90,text_10_L2,7,"service,",4.07e-05,4.61,7.2537227,8,91
91,text_10_L2,7,other,6.76e-06,3.83,7.1332664,5,92
92,text_10_L2,7,free,2.45e-05,4.39,3.818781,4,93
93,text_10_L2,7,music-sharing,2.04e-06,3.31,17.670614,13,94
94,text_10_L2,7,sites,1.07e-06,3.03,4.1581626,5,95
95,text_10_L2,7,cropped,0.0,0.0,13.295893,7,96
96,text_10_L2,7,up,4.47e-05,4.65,5.725989,2,97
97,text_10_L2,7,almost,9.77e-07,2.99,12.725245,6,98
98,text_10_L2,7,immediately.,1.82e-07,2.26,11.414424,12,99
99,text_10_L2,8,Even,2.88e-06,3.46,13.629596,4,100
100,text_10_L2,8,though,7.41e-07,2.87,11.749523,6,101
101,text_10_L2,8,several,5.25e-07,2.72,11.979477,7,102
102,text_10_L2,8,sites,1.07e-06,3.03,8.761212,5,103
103,text_10_L2,8,and,0.000166,5.22,2.2584186,3,104
104,text_10_L2,8,individual,1.29e-06,3.11,10.592538,10,105
105,text_10_L2,8,users,1.17e-06,3.07,7.6532145,5,106
